original,augmented
Bayshore Park 64 Bayshore Road #02-01 469984,Bayshore Park 64 Bayshore Road #2-01
Bayshore Park 64 Bayshore Road #02-01 469984,Bayshore Park 64 Bayshore ROAD #02-01
Bayshore Park 64 Bayshore Road #02-01 469984,Bayshore Park 64 Bayshore Road #2-01 S469984 (Opposite XXX)
63 Hillview Avenue #09-11 LAM SOON INDUSTRIAL BUILDING 669569,63 hIlLviEW avEnUe #09-11 laM soON iNdUstrIal buiLding 669569
63 Hillview Avenue #09-11 LAM SOON INDUSTRIAL BUILDING 669569,63 hillvIew aveNUe #09-11 Lam sOon indUstrial bUildInG 669569 (Near Exit A)
63 Hillview Avenue #09-11 LAM SOON INDUSTRIAL BUILDING 669569,63 Hillview Avenue #09-11 LAM SOON INDUSTRIAL BUILDING (Opposite XXX)
3017 Bedok Nth St 5 #05-15 486121,3017 Bedok Nth St 5 #05-15 SG 486121
3017 Bedok Nth St 5 #05-15 486121,3017 Bedok Nth St 5 #05-15 486121
3017 Bedok Nth St 5 #05-15 486121,3017 bedok nth st 5 #05-15 S486121
50 Raffles Place 42-01 Land Tower 48623,50 Raffles pl 42-01 Land Tower S48623
50 Raffles Place 42-01 Land Tower 48623,50 Raffles pl 42-01 Land Tower Singapore 48623
50 Raffles Place 42-01 Land Tower 48623,50 RaffleS pLACE 42-01 land towEr S48623
19 Hongkong Street 59662,19 Hongkong st S59662
19 Hongkong Street 59662,19 Hongkong St S(59662)
19 Hongkong Street 59662,19 Hongkong st SG 59662
727 Clementi West St 2 01-252 120727,727 Clementi West St 2 01-252 SG 120727
727 Clementi West St 2 01-252 120727,727 cleMeNTo wEst st 2 01-252 S(120727) (Opposite Gate 3)
727 Clementi West St 2 01-252 120727,727 cleMEnTi wEst ST 2 01-252 SG 120727
18A Murray Street 79527,18A Murray St S79527
18A Murray Street 79527,18a murraY streeT Singapore 79527 (Neat Gate 3)
18A Murray Street 79527,18a murRay ST Singapore 79527 (Near Gate 3)
Hillview Industrial Estate 40 Hillview Terrace 669266,hIllvIeW inDusTRiAl estaTe 40 HIllView teRRAcE
Hillview Industrial Estate 40 Hillview Terrace 669266,hillview inDUstrIAl Estata 40 hilLvIEw terraCe S669266 (Behind Carpark)
Hillview Industrial Estate 40 Hillview Terrace 669266,HilgvIEw industRiAl EsTatE 40 hiLlViEW terraCe 669266
65 Sims Ave #05-04 387418,65 Siis Ave #05-04
65 Sims Ave #05-04 387418,65 sIMS AVe #05-04 S(387418)
65 Sims Ave #05-04 387418,65 siMs avE #05-04 387418
Block 3015A Ubi Road 1 #04-01 Kampong Ubi Industrial Estate 408705,Block 3015A Ubi Road 1 #04-01 Kumpong Ubi Industrial Estate S(408705) (Opposite XXX)
Block 3015A Ubi Road 1 #04-01 Kampong Ubi Industrial Estate 408705,Block 3015a ubi roAd 1 #04-01 kampoNg ubi indusTrial eStAtE
Block 3015A Ubi Road 1 #04-01 Kampong Ubi Industrial Estate 408705,Block 3015A Ubi Road 1 #04-01 Kampong Ubi Industrial Estate SG 408705
53 Chander Rd S() 219549,53 cHAnder rd s() S219549
53 Chander Rd S() 219549,53 Chander Rd S()
53 Chander Rd S() 219549,53 chandeR rd s()
11 CHIN BEE AVENUE 619935,11 CHIN BEE AVENUE Singapore 619935 (Behind Carpark)
11 CHIN BEE AVENUE 619935,11 CHIN BEE AVENUE S619935
11 CHIN BEE AVENUE 619935,11 CHIN BEE AVENUE 619935
244Q Up Thomson Rd 574369,244q uP thOmSon rD SG 574369 (Near Exit A)
244Q Up Thomson Rd 574369,244Q Up Thomson Rd S574369
244Q Up Thomson Rd 574369,244Q uP THoMSoN rd SG 574369
"61 Kaki Bukit Ave 1, ,04-38 519124",61 Kaki Buknt Ave 1 04-38
"61 Kaki Bukit Ave 1, ,04-38 519124",61 Kaki Bukit Ave 1 04-38
"61 Kaki Bukit Ave 1, ,04-38 519124","61 Kaki Bukit Ave 1, ,04-38 (Near Gate 3)"
368 Alexandra Rd 159952,368 Alexandra Rd
368 Alexandra Rd 159952,368 AlexAndrA rD Singapore 159952
368 Alexandra Rd 159952,368 Alexandra Rd SG 159952
210 Middle Road #08-06 Ioi Plaza 188994,210 Middle Rd #08-06 Ioi Plaza
210 Middle Road #08-06 Ioi Plaza 188994,210 Middle ROAD #08-06 Ioi Plaza SG 188994
210 Middle Road #08-06 Ioi Plaza 188994,210 Middle ROAD #8-06 Ioi Plaza SG 188994
218 Orchard Rd #01-07 238851,218 Orchard Rd #01-07 SG 238851
218 Orchard Rd #01-07 238851,218 orCHarD rD #01-07 S238851
218 Orchard Rd #01-07 238851,218 Orchard Rd #01-07 S238851
116 Lavender St #03-08 338730,116 lavendEr St #03-08 SG 338730
116 Lavender St #03-08 338730,116 Lavender St #3-08 SG 338730
116 Lavender St #03-08 338730,116 laVeNdER st #03-08 S(338730) (Opposite XXX)
Spirits and Tobacco 151 Pasir Panjang Road 02-18 Pasir Panjang Distripark 118480,spiRiTS ANd tObAcCO 151 PAsIR panJAng rd 02-18 pAsir panJanG DIStRipark
Spirits and Tobacco 151 Pasir Panjang Road 02-18 Pasir Panjang Distripark 118480,Spirits and Tobacco 151 Pasir Panjang rd 02-18 Pasir Panjang Distriparm SG 118480
Spirits and Tobacco 151 Pasir Panjang Road 02-18 Pasir Panjang Distripark 118480,Spirits and Tobacco 151 Pasir Panjang rd 02-18 Pasit Panjang Distripark 118480
20 Loyang Crescent 508722,20 Loyang Crescent Singapore 508722
20 Loyang Crescent 508722,20 Loyang Crescent S(508722)
20 Loyang Crescent 508722,20 Loyzng Crescent Singapore 508722
71 Sakra Avenue 627876,71 SAkRa aVenue S627876 (Behind Carpark)
71 Sakra Avenue 627876,71 Sakra AVENUE S627876
71 Sakra Avenue 627876,71 Sakra nvenue S627876
Goldpine Industrial Building 126 Joo Seng Road #03-14 368355,goldpINe indusTriAL bUIldiNG 126 joO senG rD #3-14 Singapore 368355 (Behind Carpark)
Goldpine Industrial Building 126 Joo Seng Road #03-14 368355,Goldpine Industrial Building 126 Joo Seng rd #03-14 Singapore 368355
Goldpine Industrial Building 126 Joo Seng Road #03-14 368355,GolDpiNe InduStRial bUILdinG 126 jOO seng roAd #03-14 Singapore 368355
30 Defu Lane 10 #04-104 539211,30 Defu Lane 10 #4-104 SG 539211
30 Defu Lane 10 #04-104 539211,30 Defu Ln 10 #04-104 S(539211p (Behind Carpark)
30 Defu Lane 10 #04-104 539211,30 Defu Lane 10 #4-104
51 Benoi Road Block 6 Liang Huat Industrial Complex 629908,51 BEnOi rD blOCk 6 lIANG hUaT IndustrIAl CoMpLex Singapore 629908
51 Benoi Road Block 6 Liang Huat Industrial Complex 629908,51 benoi rd blokk 6 liaNG Huat iNdusTRial complEx S629908 (Behind Carpark)
51 Benoi Road Block 6 Liang Huat Industrial Complex 629908,51 bEnOi rd block 6 lIang HuaT InDuStRial comPlEX S629908
3 Lim Teck Kim Road #12-01 Technologies Building (Lim Teck Kim Road) 88934,3 Lim Teck Kim rd #12-01 Technologies Building (Lim Teck Kim rd) S88934
3 Lim Teck Kim Road #12-01 Technologies Building (Lim Teck Kim Road) 88934,3 liM tEck kIM roAd #12-01 TechnOlogieS buILDing (lIm teck kim road) Singapore 88934 (Behind Carpark)
3 Lim Teck Kim Road #12-01 Technologies Building (Lim Teck Kim Road) 88934,3 Lim Teck Kim rd #12-01 Technologies Building (Lim Teck Kim rd) 88934
345 Jurong East Street 31 600345,345 Jurong East St 31 S(600345)
345 Jurong East Street 31 600345,345 Jurong East st 31 600345
345 Jurong East Street 31 600345,345 Jurong East st 31 S600345
"360 ORCHARD ROAD, #11-05/06 238869","360 orChARD ROAD, #11-05/06 238869 (Behind Carpark)"
"360 ORCHARD ROAD, #11-05/06 238869",360 ORCHArd road #11-05/06 238869
"360 ORCHARD ROAD, #11-05/06 238869","360 ORCHARD ROAD, #11-05/06 238869"
"Blk 20, , 03-07, Woodlands Link 738733",Blk 20    03-07  Woodlands Link 738733
"Blk 20, , 03-07, Woodlands Link 738733",Blk 20 03-07 Woodlands Link 738733
"Blk 20, , 03-07, Woodlands Link 738733","Blk 20, , 03-07, Woodlands Link 738733"
96 Whampoa Dr #14-246 320096,96 Whampoa Dr #14-246 320096
96 Whampoa Dr #14-246 320096,96 Whampoa Dr #14-24 Singapore 320096 (Behind Carpark)
96 Whampoa Dr #14-246 320096,96 Whampoa Dr #14-24 S(320096)
30 Penjuru Lane 609197,30 PEnjURu ln (Near Exit A)
30 Penjuru Lane 609197,30 Penjuru ln Singapore 609197
30 Penjuru Lane 609197,30 Penjuru Ln
6001 Beach Road #18-02 Golden Mile Tower 199589,6001 Beach ROAD #18-02 Golden Mile Tower 199589
6001 Beach Road #18-02 Golden Mile Tower 199589,6001 bEACh rd #18-02 gOldeN Mile TOWEr Singapore 199589
6001 Beach Road #18-02 Golden Mile Tower 199589,6001 Beanh Road #18-02 Golden Mile Tower S(199589)
130 Serangoon North Ave1 550130,130 Serangoon North Avek
130 Serangoon North Ave1 550130,130 SeraNGOOn NoRth ave1 S(550130) (Opposite Gate 3)
130 Serangoon North Ave1 550130,130 Serandoon North Ave1 550130
Paya Ubi Industrial Park 53 Ubi Avenue 1 #05-48 to #48-49 408934,Paya Ubi Industrial Park 53 Ubi Ave 1 #05-48 to #48-49 Singapore 408934
Paya Ubi Industrial Park 53 Ubi Avenue 1 #05-48 to #48-49 408934,Paya Ubi Industrial Park 53 Ubi Ave 1 #05-48 to #48-49 408934 (Opposite Gate 3)
Paya Ubi Industrial Park 53 Ubi Avenue 1 #05-48 to #48-49 408934,Paya Ubi Industrial Park 53 Ubi ave 1 #5-48 to #48-49 SG 408934
"402 Orchard Road ,02-01 Delfi Orchard 238876",402 Orchard ROAD  02-01 Delfi Orchard SG 238876 (Opposite XXX)
"402 Orchard Road ,02-01 Delfi Orchard 238876",402 ORCHarD rd  02-01 DeLfi OrcharD Singapore 238876 (Near Exit A)
"402 Orchard Road ,02-01 Delfi Orchard 238876","402 ORcharD Road ,02-01 DelFi orCHArD (Opposite XXX)"
151 Bouna Vista Road 588998,151 bouna viSta RD 588998
151 Bouna Vista Road 588998,151 Bouna Vista rd Singapore 588998
151 Bouna Vista Road 588998,151 BOUnA vista rD 588998
237 Arcadia Road 02-03 289844,237 aRcAdIa roaD 02-03 S289844
237 Arcadia Road 02-03 289844,237 Arcadia ROAD 02-03 S(289844)
237 Arcadia Road 02-03 289844,237 arcadma rd 02-03 SG 289844
549A UPPER THOMSON ROAD 574414,549A UPPER THOMSON ROAD SG 574414 (Opposite Gate 3)
549A UPPER THOMSON ROAD 574414,549A uppvr thOMson roAD Singapore 574414
549A UPPER THOMSON ROAD 574414,549A UPPER THOMSON ROtD
269 New Bridge Road 38987,269 New Bridge Rd 38987
269 New Bridge Road 38987,269 New Bridge rd S(38987)
269 New Bridge Road 38987,269 new bRIDge roaD Singapore 38987 (Behind Carpark)
1 Harbourfront Avenue 05-01 Keppel Bay Tower 98632,1 HArbOurfront avenUE 05-01 KEppEl bAy toWer 98632
1 Harbourfront Avenue 05-01 Keppel Bay Tower 98632,1 Harbourfront Avenue 05-01 Keppel Bay Tower S98632
1 Harbourfront Avenue 05-01 Keppel Bay Tower 98632,1 Harbourfront AVENUE 05-01 Keppel Bay Tower SG 98632
No. 2 Kim Chuan Drive CSI Distribution Centre #05-03 537080,No. 2 Kim cHUan dr csi distriButiOn cenTre #05-03 S537080 (Opposite XXX)
No. 2 Kim Chuan Drive CSI Distribution Centre #05-03 537080,nO. 2 kIM chUan dr Csi DistrIbUtiOn CENtre #5-03 SG 537080
No. 2 Kim Chuan Drive CSI Distribution Centre #05-03 537080,nO. 2 kIM cHuAn Dr CsI diStrIbUtIOn cENtre #05-03 Singapore 537080
50 Kallang Avenue 05-04A Noel Corporate Building 339505,50 KalLANg ave 05-04A NoEl cORpOrATe building SG 339505
50 Kallang Avenue 05-04A Noel Corporate Building 339505,50 kallanG ave 05-04A noEL CoRPORaTe BUilDiNg Singapore 339505 (Behind Carpark)
50 Kallang Avenue 05-04A Noel Corporate Building 339505,50 kalLanG ave 05-04a NOel CoRpOrate bUIlding 339505
229 Ubi Ave 4 Intrepid Warehouse Complex S 408816,229 Ubi Ave 4 Intrepid Warehouse Complex S S408816
229 Ubi Ave 4 Intrepid Warehouse Complex S 408816,229 Ubi Ave 4 Intrepid Warehouse Complex S S(408816)
229 Ubi Ave 4 Intrepid Warehouse Complex S 408816,229 ubI ave 4 INtrePiD Warehouse complex s Singapore 408816 (Opposite XXX)
7500A Beach Rd #14-322 The Plaza S() 199591,7500A Beach Rd #14-322 The Plaza S()
7500A Beach Rd #14-322 The Plaza S() 199591,7500A beach Rd #14-322 tHe plAza S() 199591
7500A Beach Rd #14-322 The Plaza S() 199591,7500a BEach Rd #14-322 tHe PLaza s()
4 Penjuru Close 608574,4 pENJuru close
4 Penjuru Close 608574,4 penJurU chOse
4 Penjuru Close 608574,4 Penjuru Close 608574
35 Kallang Pudding Road 04-01/02 Tong Lee Bldg-blk A 349314,35 KaLlAng PUdDING roaD 04-01/02 toNG lee blDG-blk a (Opposite XXX)
35 Kallang Pudding Road 04-01/02 Tong Lee Bldg-blk A 349314,35 kallang PUddiNg rd 04-01/02 Tong leE bldg-bLk A S(349314) (Beside MRT)
35 Kallang Pudding Road 04-01/02 Tong Lee Bldg-blk A 349314,35 kaLlang puDdIng rOaD 04-01/02 Tocg lee blDg-blk a S349314
218 ORCHARD ROAD#01-04 238851,218 orchard roaD#01-04 S238851
218 ORCHARD ROAD#01-04 238851,218 ORCHARD ROAD#01-04 SG 238851 (Beside MRT)
218 ORCHARD ROAD#01-04 238851,218 ORCHARD ROAD#01-04 Singapore 238851
"West Mall, 1 Bukit Batok Central Link, 658713","weSt Mall, 1 bUkIT baTOk cEnTral Link, 658713"
